From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (molecular function)
A0A075B6H7	A0A075B6H7	reviewed	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	Homo sapiens (Human)	116	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6H9	A0A075B6H9	reviewed	LV469_HUMAN	Immunoglobulin lambda variable 4-69	IGLV4-69	Homo sapiens (Human)	119	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6I0	A0A075B6I0	reviewed	LV861_HUMAN	Immunoglobulin lambda variable 8-61	IGLV8-61	Homo sapiens (Human)	122	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6I4	A0A075B6I4	reviewed	LVX54_HUMAN	Immunoglobulin lambda variable 10-54	IGLV10-54	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6I9	A0A075B6I9	reviewed	LV746_HUMAN	Immunoglobulin lambda variable 7-46	IGLV7-46	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6J1	A0A075B6J1	reviewed	LV537_HUMAN	Immunoglobulin lambda variable 5-37	IGLV5-37	Homo sapiens (Human)	123	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6J9	A0A075B6J9	reviewed	LV218_HUMAN	Immunoglobulin lambda variable 2-18	IGLV2-18	Homo sapiens (Human)	118	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6K0	A0A075B6K0	reviewed	LV316_HUMAN	Immunoglobulin lambda variable 3-16	IGLV3-16	Homo sapiens (Human)	115	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6K2	A0A075B6K2	reviewed	LV312_HUMAN	Immunoglobulin lambda variable 3-12	IGLV3-12	Homo sapiens (Human)	115	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6K4	A0A075B6K4	reviewed	LV310_HUMAN	Immunoglobulin lambda variable 3-10	IGLV3-10	Homo sapiens (Human)	115	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
